CityID,HotelID,HotelName,HotelLat,HotelLon,HotelURL,HotelScore,HotelDescription,CityName
12,,Hôtel Restaurant Spa Le Sauvage,47.23171767,6.02759153,https://www.booking.com/hotel/fr/ho-tel-le-sauvage-besanasson.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,9.0,"Hôtel Restaurant Spa Le Sauvage, formerly the Clarisses Monestary, is located in the historic district of Besançon, 500 metres from the citadel's ancient walls. ",Besancon
12,,L'adresse à Besançon,47.24736834,6.03148374,https://www.booking.com/hotel/fr/l-39-adresse-a-besancon.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,9.7,"L'adresse à Besançon is situated in Besançon, 7 km from Micropolis, 1.9 km from Museum of Fine Arts and Archaeology of Besancon, and 3.4 km from Saint-Jean Cathedral Besançon. ",Besancon
12,,Chambre d'Hôtes La Villa Molina,47.25044475,6.02088064,https://www.booking.com/hotel/fr/la-villa-molina.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,9.3,"Set in a tree-lined garden with a shaded terrace, this French villa is located a 5-minute walk from Viotte Train Station. ",Besancon
12,,Les Fontenottes,47.23927500,6.03571600,https://www.booking.com/hotel/fr/les-fontenottes.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,9.5,"Situated in Besançon, near Saint-Jean Cathedral Besançon and Museum of Fine Arts and Archaeology of Besancon, Les Fontenottes features free WiFi, and guests can enjoy a garden and a terrace. ",Besancon
12,,Hôtel de Paris,47.23856537,6.02532506,https://www.booking.com/hotel/fr/de-paris-besanasson.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,8.7,"Located in the centre of Besançon, Hôtel de Paris offers contemporary décor, a 24-hour reception and terrace. The Besançon Citadelle is just a 15-minute walk away. Vesoul is 48 km from the property. ",Besancon
12,,Hôtel AKENA BESANCON,47.23547525,5.90008540,https://www.booking.com/hotel/fr/akena-besancon.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,8.7,"Situated in Besançon, 7 km from Micropolis, Hôtel AKENA BESANCON features accommodation with a restaurant, free private parking, a bar and a terrace. ",Besancon
12,,ibis Besançon Centre Ville,47.24045605,6.02599533,https://www.booking.com/hotel/fr/ibis-besancon-centre-ville.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,8.5,"Located in the old town of Besançon, ibis Besançon Centre Ville is 500 metres from Viotte Train Station and both the Vauban Citadel and the Museum of Fine Arts can be found within a 20-minute walk. ",Besancon
12,,La Felicita,47.23491100,6.02992100,https://www.booking.com/hotel/fr/la-felicita-besancon.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,9.7,"Boasting a bar and a spa and wellness centre, La Felicita features accommodation in Besançon with free WiFi and city views. Featuring private parking, the apartment is 5 km from Micropolis. ",Besancon
12,,Résidence Charles Quint,47.23347773,6.03081581,https://www.booking.com/hotel/fr/ra-c-sidence-charles-quint.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,9.0,"Résidence Charles Quint is set in an 18th-century building in the historical centre of Besançon, offering both double rooms and self-catering apartments. The building features a garden and a...",Besancon
12,,Les Terrasses de La Malcombe,47.22448610,5.98300771,https://www.booking.com/hotel/fr/les-terrasses-de-la-malcombe.en-gb.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=148a73ef16320238&srepoch=1643473759&from=searchresults#hotelTmpl,9.4,"Located in Besançon, 1.2 km from Micropolis, Les Terrasses de La Malcombe provides accommodation with a garden, free WiFi and a 24-hour front desk. ",Besancon
